"Imbalance settlement period CET/CEST","Generation / + Imbalance price [Currency/MWh] - SCA|DE(TenneT GER)","Generation / - Imbalance price [Currency/MWh] - SCA|DE(TenneT GER)","Price for consumption [Currency/MWh] - SCA|DE(TenneT GER)","Currency","Status","Total Imbalance [MWh] - SCA|DE(TenneT GER)","Difference","Situation","Status"
"02.01.2021 03:30 - 02.01.2021 03:45","n/e","n/e","n/e","n/e","n/e","36","5","Surplus","Final"
"02.01.2021 03:45 - 02.01.2021 04:00","n/e","n/e","n/e","n/e","n/e","55","3","Surplus","Final"
"02.01.2021 04:00 - 02.01.2021 04:15","n/e","n/e","n/e","n/e","n/e","69","0","Surplus","Final"
"02.01.2021 04:15 - 02.01.2021 04:30","n/e","n/e","n/e","n/e","n/e","70","0","Surplus","Final"
"02.01.2021 04:30 - 02.01.2021 04:45","n/e","n/e","n/e","n/e","n/e","45","2","Surplus","Final"
"02.01.2021 04:45 - 02.01.2021 05:00","n/e","n/e","n/e","n/e","n/e","24","1","Surplus","Final"
"02.01.2021 05:00 - 02.01.2021 05:15","n/e","n/e","n/e","n/e","n/e","9","3","Surplus","Final"
"02.01.2021 05:15 - 02.01.2021 05:30","n/e","n/e","n/e","n/e","n/e","40","1","Surplus","Final"
"02.01.2021 05:30 - 02.01.2021 05:45","n/e","n/e","n/e","n/e","n/e","59","-1","Surplus","Final"
"02.01.2021 05:45 - 02.01.2021 06:00","n/e","n/e","n/e","n/e","n/e","39","1","Surplus","Final"
"02.01.2021 06:00 - 02.01.2021 06:15","n/e","n/e","n/e","n/e","n/e","3","3","Surplus","Final"
"02.01.2021 06:15 - 02.01.2021 06:30","n/e","n/e","n/e","n/e","n/e","24","3","Surplus","Final"
"02.01.2021 06:30 - 02.01.2021 06:45","n/e","n/e","n/e","n/e","n/e","57","-4","Surplus","Final"
"02.01.2021 06:45 - 02.01.2021 07:00","n/e","n/e","n/e","n/e","n/e","84","0","Surplus","Final"
"02.01.2021 07:00 - 02.01.2021 07:15","n/e","n/e","n/e","n/e","n/e","82","5","Surplus","Final"
"02.01.2021 07:15 - 02.01.2021 07:30","n/e","n/e","n/e","n/e","n/e","76","1","Surplus","Final"
"02.01.2021 07:30 - 02.01.2021 07:45","n/e","n/e","n/e","n/e","n/e","29","0","Surplus","Final"
"02.01.2021 07:45 - 02.01.2021 08:00","n/e","n/e","n/e","n/e","n/e","24","-2","Deficit","Final"
"02.01.2021 08:00 - 02.01.2021 08:15","n/e","n/e","n/e","n/e","n/e","56","3","Surplus","Final"
"02.01.2021 08:15 - 02.01.2021 08:30","n/e","n/e","n/e","n/e","n/e","6","-3","Deficit","Final"
"02.01.2021 08:30 - 02.01.2021 08:45","n/e","n/e","n/e","n/e","n/e","13","-2","Deficit","Final"
"02.01.2021 08:45 - 02.01.2021 09:00","n/e","n/e","n/e","n/e","n/e","44","-4","Deficit","Final"
"02.01.2021 09:00 - 02.01.2021 09:15","n/e","n/e","n/e","n/e","n/e","26","2","Deficit","Final"
"02.01.2021 09:15 - 02.01.2021 09:30","n/e","n/e","n/e","n/e","n/e","14","0","Deficit","Final"
"02.01.2021 09:30 - 02.01.2021 09:45","n/e","n/e","n/e","n/e","n/e","97","-4","Deficit","Final"
"02.01.2021 09:45 - 02.01.2021 10:00","n/e","n/e","n/e","n/e","n/e","15","1","Deficit","Final"
"02.01.2021 10:00 - 02.01.2021 10:15","n/e","n/e","n/e","n/e","n/e","26","1","Deficit","Final"
"02.01.2021 10:15 - 02.01.2021 10:30","n/e","n/e","n/e","n/e","n/e","50","0","Deficit","Final"
"02.01.2021 10:30 - 02.01.2021 10:45","n/e","n/e","n/e","n/e","n/e","67","-2","Deficit","Final"
"02.01.2021 10:45 - 02.01.2021 11:00","n/e","n/e","n/e","n/e","n/e","45","1","Deficit","Final"
"02.01.2021 11:00 - 02.01.2021 11:15","n/e","n/e","n/e","n/e","n/e","12","-7","Deficit","Final"
"02.01.2021 11:15 - 02.01.2021 11:30","n/e","n/e","n/e","n/e","n/e","22","-2","Deficit","Final"
"02.01.2021 11:30 - 02.01.2021 11:45","n/e","n/e","n/e","n/e","n/e","44","2","Deficit","Final"
"02.01.2021 11:45 - 02.01.2021 12:00","n/e","n/e","n/e","n/e","n/e","75","2","Deficit","Final"
"02.01.2021 12:00 - 02.01.2021 12:15","n/e","n/e","n/e","n/e","n/e","32","1","Deficit","Final"
"02.01.2021 12:15 - 02.01.2021 12:30","n/e","n/e","n/e","n/e","n/e","3","0","Deficit","Final"
"02.01.2021 12:30 - 02.01.2021 12:45","n/e","n/e","n/e","n/e","n/e","43","-4","Deficit","Final"
"02.01.2021 12:45 - 02.01.2021 13:00","n/e","n/e","n/e","n/e","n/e","63","1","Deficit","Final"
"02.01.2021 13:00 - 02.01.2021 13:15","n/e","n/e","n/e","n/e","n/e","97","-8","Deficit","Final"
"02.01.2021 13:15 - 02.01.2021 13:30","n/e","n/e","n/e","n/e","n/e","94","0","Deficit","Final"
"02.01.2021 13:30 - 02.01.2021 13:45","n/e","n/e","n/e","n/e","n/e","103","0","Deficit","Final"
"02.01.2021 13:45 - 02.01.2021 14:00","n/e","n/e","n/e","n/e","n/e","98","-2","Deficit","Final"
"02.01.2021 14:00 - 02.01.2021 14:15","n/e","n/e","n/e","n/e","n/e","79","-4","Deficit","Final"
"02.01.2021 14:15 - 02.01.2021 14:30","n/e","n/e","n/e","n/e","n/e","74","-1","Deficit","Final"
"02.01.2021 14:30 - 02.01.2021 14:45","n/e","n/e","n/e","n/e","n/e","72","-1","Deficit","Final"
"02.01.2021 14:45 - 02.01.2021 15:00","n/e","n/e","n/e","n/e","n/e","44","1","Deficit","Final"
"02.01.2021 15:00 - 02.01.2021 15:15","n/e","n/e","n/e","n/e","n/e","28","0","Deficit","Final"
"02.01.2021 15:15 - 02.01.2021 15:30","n/e","n/e","n/e","n/e","n/e","24","3","Deficit","Final"
"02.01.2021 15:30 - 02.01.2021 15:45","n/e","n/e","n/e","n/e","n/e","10","-3","Deficit","Final"
"02.01.2021 15:45 - 02.01.2021 16:00","n/e","n/e","n/e","n/e","n/e","9","2","Deficit","Final"
"02.01.2021 16:00 - 02.01.2021 16:15","n/e","n/e","n/e","n/e","n/e","9","7","Surplus","Final"
"02.01.2021 16:15 - 02.01.2021 16:30","n/e","n/e","n/e","n/e","n/e","2","0","Deficit","Final"
"02.01.2021 16:30 - 02.01.2021 16:45","n/e","n/e","n/e","n/e","n/e","10","-5","Deficit","Final"
"02.01.2021 16:45 - 02.01.2021 17:00","n/e","n/e","n/e","n/e","n/e","5","-6","Surplus","Final"
"02.01.2021 17:00 - 02.01.2021 17:15","n/e","n/e","n/e","n/e","n/e","1","8","Surplus","Final"
"02.01.2021 17:15 - 02.01.2021 17:30","n/e","n/e","n/e","n/e","n/e","10","-5","Surplus","Final"
"02.01.2021 17:30 - 02.01.2021 17:45","n/e","n/e","n/e","n/e","n/e","17","3","Surplus","Final"
"02.01.2021 17:45 - 02.01.2021 18:00","n/e","n/e","n/e","n/e","n/e","52","2","Surplus","Final"
"02.01.2021 18:00 - 02.01.2021 18:15","n/e","n/e","n/e","n/e","n/e","49","6","Surplus","Final"
"02.01.2021 18:15 - 02.01.2021 18:30","n/e","n/e","n/e","n/e","n/e","82","-2","Surplus","Final"
"02.01.2021 18:30 - 02.01.2021 18:45","n/e","n/e","n/e","n/e","n/e","109","0","Surplus","Final"
"02.01.2021 18:45 - 02.01.2021 19:00","n/e","n/e","n/e","n/e","n/e","84","0","Surplus","Final"
"02.01.2021 19:00 - 02.01.2021 19:15","n/e","n/e","n/e","n/e","n/e","11","-1","Surplus","Final"
"02.01.2021 19:15 - 02.01.2021 19:30","n/e","n/e","n/e","n/e","n/e","42","5","Surplus","Final"
"02.01.2021 19:30 - 02.01.2021 19:45","n/e","n/e","n/e","n/e","n/e","69","6","Surplus","Final"
"02.01.2021 19:45 - 02.01.2021 20:00","n/e","n/e","n/e","n/e","n/e","93","8","Surplus","Final"
"02.01.2021 20:00 - 02.01.2021 20:15","n/e","n/e","n/e","n/e","n/e","56","-9","Surplus","Final"
"02.01.2021 20:15 - 02.01.2021 20:30","n/e","n/e","n/e","n/e","n/e","73","7","Surplus","Final"
"02.01.2021 20:30 - 02.01.2021 20:45","n/e","n/e","n/e","n/e","n/e","87","11","Surplus","Final"
"02.01.2021 20:45 - 02.01.2021 21:00","n/e","n/e","n/e","n/e","n/e","88","14","Surplus","Final"
"02.01.2021 21:00 - 02.01.2021 21:15","n/e","n/e","n/e","n/e","n/e","8","-11","Deficit","Final"
"02.01.2021 21:15 - 02.01.2021 21:30","n/e","n/e","n/e","n/e","n/e","10","6","Surplus","Final"
"02.01.2021 21:30 - 02.01.2021 21:45","n/e","n/e","n/e","n/e","n/e","40","4","Surplus","Final"
"02.01.2021 21:45 - 02.01.2021 22:00","n/e","n/e","n/e","n/e","n/e","29","7","Surplus","Final"
"02.01.2021 22:00 - 02.01.2021 22:15","n/e","n/e","n/e","n/e","n/e","12","-8","Surplus","Final"
"02.01.2021 22:15 - 02.01.2021 22:30","n/e","n/e","n/e","n/e","n/e","53","4","Surplus","Final"
"02.01.2021 22:30 - 02.01.2021 22:45","n/e","n/e","n/e","n/e","n/e","65","4","Surplus","Final"
"02.01.2021 22:45 - 02.01.2021 23:00","n/e","n/e","n/e","n/e","n/e","119","6","Surplus","Final"
"02.01.2021 23:00 - 02.01.2021 23:15","n/e","n/e","n/e","n/e","n/e","40","1","Surplus","Final"
"02.01.2021 23:15 - 02.01.2021 23:30","n/e","n/e","n/e","n/e","n/e","98","11","Surplus","Final"
"02.01.2021 23:30 - 02.01.2021 23:45","n/e","n/e","n/e","n/e","n/e","136","10","Surplus","Final"
"02.01.2021 23:45 - 03.01.2021 00:00","n/e","n/e","n/e","n/e","n/e","142","17","Surplus","Final"
"03.01.2021 00:00 - 03.01.2021 00:15","n/e","n/e","n/e","n/e","n/e","24","6","Surplus","Final"
"03.01.2021 00:15 - 03.01.2021 00:30","n/e","n/e","n/e","n/e","n/e","41","9","Deficit","Final"
"03.01.2021 00:30 - 03.01.2021 00:45","n/e","n/e","n/e","n/e","n/e","102","11","Deficit","Final"
